Values,Timestamp
96,28-06-2024 09:08:24
96,28-06-2024 09:08:41
96,28-06-2024 09:08:57
96,28-06-2024 09:09:12
96,28-06-2024 09:09:30
96,28-06-2024 09:10:03
96,28-06-2024 09:10:19
96,28-06-2024 09:10:36
96,28-06-2024 09:10:52
96,28-06-2024 09:11:08
96,28-06-2024 09:11:26
96,28-06-2024 09:11:42
96,28-06-2024 09:11:58
96,28-06-2024 09:12:30
96,28-06-2024 09:12:46
96,28-06-2024 09:12:49
96,28-06-2024 09:13:04
96,28-06-2024 09:13:22
96,28-06-2024 09:13:37
96,28-06-2024 09:13:54
96,28-06-2024 09:14:09
96,28-06-2024 09:14:28
96,28-06-2024 09:14:43
96,28-06-2024 09:14:59
96,28-06-2024 09:15:14
96,28-06-2024 09:15:31
96,28-06-2024 09:15:47
96,28-06-2024 09:15:50
96,28-06-2024 09:16:05
96,28-06-2024 09:16:22
96,28-06-2024 09:16:38
96,28-06-2024 09:16:55
96,28-06-2024 09:17:11
96,28-06-2024 09:17:27
96,28-06-2024 09:17:45
96,28-06-2024 09:17:59
96,28-06-2024 09:18:17
96,28-06-2024 09:18:34
96,28-06-2024 09:18:49
96,28-06-2024 09:19:08
96,28-06-2024 09:19:23
96,28-06-2024 09:19:40
96,28-06-2024 09:19:56
96,28-06-2024 09:20:13
96,28-06-2024 09:20:29
96,28-06-2024 09:20:44
96,28-06-2024 09:21:01
96,28-06-2024 09:21:02
96,28-06-2024 09:21:18
96,28-06-2024 09:21:35
96,28-06-2024 09:21:51
96,28-06-2024 09:22:08
96,28-06-2024 09:22:23
96,28-06-2024 09:22:42
96,28-06-2024 09:22:57
96,28-06-2024 09:23:14
96,28-06-2024 09:23:29
96,28-06-2024 09:23:45
96,28-06-2024 09:23:47
96,28-06-2024 09:24:03
96,28-06-2024 09:24:20
96,28-06-2024 09:24:36
96,28-06-2024 09:24:53
96,28-06-2024 09:25:09
96,28-06-2024 09:25:26
96,28-06-2024 09:25:42
96,28-06-2024 09:25:59
96,28-06-2024 09:26:14
96,28-06-2024 09:26:30
96,28-06-2024 09:26:46
96,28-06-2024 09:26:48
96,28-06-2024 09:27:04
96,28-06-2024 09:27:21
96,28-06-2024 09:27:37
96,28-06-2024 09:27:54
96,28-06-2024 09:28:10
96,28-06-2024 09:28:27
96,28-06-2024 09:28:42
96,28-06-2024 09:29:00
96,28-06-2024 09:29:15
96,28-06-2024 09:29:31
96,28-06-2024 09:29:33
96,28-06-2024 09:29:49
96,28-06-2024 09:30:05
96,28-06-2024 09:30:22
96,28-06-2024 09:30:40
96,28-06-2024 09:30:55
96,28-06-2024 09:31:12
96,28-06-2024 09:31:28
96,28-06-2024 09:31:44
96,28-06-2024 09:32:00
96,28-06-2024 09:32:16
96,28-06-2024 09:32:18
96,28-06-2024 09:32:34
96,28-06-2024 09:32:50
96,28-06-2024 09:33:07
96,28-06-2024 09:33:23
96,28-06-2024 09:33:40
96,28-06-2024 09:33:56
96,28-06-2024 09:34:13
96,28-06-2024 09:34:29
96,28-06-2024 09:34:44
96,28-06-2024 09:35:01
96,28-06-2024 09:35:17
96,28-06-2024 09:35:20
96,28-06-2024 09:35:35
96,28-06-2024 09:35:52
96,28-06-2024 09:36:08
96,28-06-2024 09:36:25
96,28-06-2024 09:36:41
96,28-06-2024 09:36:58
96,28-06-2024 09:37:13
95,28-06-2024 09:37:30
95,28-06-2024 09:37:46
95,28-06-2024 09:37:47
95,28-06-2024 09:38:04
95,28-06-2024 09:38:20
95,28-06-2024 09:38:36
95,28-06-2024 09:38:53
95,28-06-2024 09:39:10
95,28-06-2024 09:39:26
95,28-06-2024 09:39:43
95,28-06-2024 09:39:59
95,28-06-2024 09:40:15
95,28-06-2024 09:40:31
95,28-06-2024 09:40:47
95,28-06-2024 09:40:49
95,28-06-2024 09:41:05
95,28-06-2024 09:41:22
95,28-06-2024 09:41:38
95,28-06-2024 09:41:53
95,28-06-2024 09:42:12
95,28-06-2024 09:42:28
95,28-06-2024 09:42:44
95,28-06-2024 09:43:00
94,28-06-2024 09:43:16
94,28-06-2024 09:43:32
94,28-06-2024 09:43:34
94,28-06-2024 09:43:50
94,28-06-2024 09:44:06
94,28-06-2024 09:44:23
94,28-06-2024 09:44:40
94,28-06-2024 09:44:56
94,28-06-2024 09:45:11
94,28-06-2024 09:45:30
94,28-06-2024 09:45:45
94,28-06-2024 09:46:01
94,28-06-2024 09:46:17
94,28-06-2024 09:46:33
94,28-06-2024 09:46:35
94,28-06-2024 09:46:51
94,28-06-2024 09:47:09
94,28-06-2024 09:47:24
94,28-06-2024 09:47:41
94,28-06-2024 09:47:58
94,28-06-2024 09:48:14
94,28-06-2024 09:48:30
94,28-06-2024 09:48:46
94,28-06-2024 09:49:02
94,28-06-2024 09:49:18
94,28-06-2024 09:49:20
94,28-06-2024 09:49:36
94,28-06-2024 09:49:53
94,28-06-2024 09:50:08
94,28-06-2024 09:52:03
94,28-06-2024 09:52:06
94,28-06-2024 09:52:54
94,28-06-2024 09:53:11
94,28-06-2024 09:53:26
94,28-06-2024 09:53:45
94,28-06-2024 09:54:00
94,28-06-2024 09:54:16
94,28-06-2024 09:54:32
94,28-06-2024 09:54:48
94,28-06-2024 09:54:50
94,28-06-2024 09:55:05
94,28-06-2024 09:55:24
94,28-06-2024 09:55:39
94,28-06-2024 09:55:56
94,28-06-2024 09:56:12
94,28-06-2024 09:58:08
94,28-06-2024 09:58:24
94,28-06-2024 10:00:18
94,28-06-2024 10:00:20
94,28-06-2024 10:00:36
94,28-06-2024 10:00:52
94,28-06-2024 10:01:09
94,28-06-2024 10:01:26
94,28-06-2024 10:01:41
94,28-06-2024 10:01:59
94,28-06-2024 10:02:15
94,28-06-2024 10:02:31
94,28-06-2024 10:02:46
94,28-06-2024 10:03:03
94,28-06-2024 10:03:04
94,28-06-2024 10:03:21
94,28-06-2024 10:03:38
93,28-06-2024 10:03:54
93,28-06-2024 10:04:10
93,28-06-2024 10:05:48
93,28-06-2024 10:05:49
93,28-06-2024 10:06:06
93,28-06-2024 10:06:22
93,28-06-2024 10:06:39
93,28-06-2024 10:06:55
93,28-06-2024 10:07:12
93,28-06-2024 10:07:29
93,28-06-2024 10:07:45
93,28-06-2024 10:08:01
93,28-06-2024 10:08:16
93,28-06-2024 10:08:33
93,28-06-2024 10:08:35
93,28-06-2024 10:08:51
93,28-06-2024 10:09:23
93,28-06-2024 10:10:30
93,28-06-2024 10:10:46
93,28-06-2024 10:11:01
93,28-06-2024 10:11:18
93,28-06-2024 10:11:34
93,28-06-2024 10:11:37
93,28-06-2024 10:11:52
93,28-06-2024 10:12:09
93,28-06-2024 10:12:25
93,28-06-2024 10:12:42
93,28-06-2024 10:12:58
93,28-06-2024 10:13:15
93,28-06-2024 10:13:31
93,28-06-2024 10:13:46
93,28-06-2024 10:14:03
93,28-06-2024 10:14:04
93,28-06-2024 10:14:21
93,28-06-2024 10:14:37
93,28-06-2024 10:14:53
93,28-06-2024 10:15:11
93,28-06-2024 10:15:27
93,28-06-2024 10:15:43
93,28-06-2024 10:16:00
93,28-06-2024 10:16:16
93,28-06-2024 10:16:31
